States/UTs,Number of Registered CCIS,Number of Under Process CCIs,Number of Temporary registered CCIs,Number of Un-Registered CCIs,Others,Court Case,Total,Total No. of Children reported in all CCIs,Dated,Remarks
Andaman & Nicobar,16,0,0,0,0,0,16,486,7/3/2018,No. of Boys in CCIs – 226; No. of Girls in CCIs - 260
Andhra Pradesh,824,0,0,49,0,0,873,30681,11/1/2018,Children in registered CCI: 30091; Children in unregistered CCIs: 590
Arunachal Pradesh,7,0,0,0,0,0,7,155,20/02/2018,No. of boys in CCIs: 87; No. of girls in CCIs: 68
Assam,110,47,0,4,0,0,161,3480,21/02/2018,No of children in NGO run Children Homes not receiving grant:1213; No of children in NGO run Children Homes receiving grant under ICPS:1116; No of children in Open Shelter receiving grant:45; No of children in SAA receiving grant:103; No of children in Govt. run Children/Observation Home:222; Capacity of children in new CCI application: 781
Bihar,79,6,0,0,0,0,85,2259,21/02/2018,No. of Children in Observation Home: 786; No. of Children in Special Home : 16; No. of Children in Specialized Adoption Agencies: 217; No. of Children in Children Home: 1039; No. of Children in Open Shelter : 201
Chandigarh,10,0,0,0,0,0,10,295,22/02/2018,NA
Chhattisgarh,77,0,8,0,0,0,85,2426,19/02/2018,"Actual no. of children as on 31st January, 2018"
Dadra Nagar Haveli,0,0,0,0,0,0,0,0,26/12/2017,Non availability of CCI
Daman & Diu,0,0,0,0,0,0,0,0,26/02/2018,Non availability of CCI
Delhi,65,31,0,0,0,0,96,3177,22/02/2018,No. of Children in registered CCI: 2400; No. of Children in CCIs under process CCI: 777
Goa,67,12,0,0,0,0,79,3788,22/02/2018,No. of Children in registered CCI: 3234; No. of Children in un-registered CCI: 554
Gujarat,125,0,0,0,0,0,125,3324,16/02/2018,Total No. of boys in CCIs: 2035; Total No. of girls in CCIs: 1289
Haryana,65,3,0,0,0,0,68,2551,22/02/2018,"No. of Children in registered CCIs: 2384; No. of Children in provisionally registered CCIs: 20; No. of Children in CCIs, to whom show cause notice has been issued by the department: 52; No. of Children in CCIs, which are under closure: 15; No. of Children in CCIs, which are under process at HQ for registration:80; Total No of girls: in CCIs: 1149; Total No of boys in CCIs: 1402"
Himachal Pradesh,46,0,0,0,0,0,46,1494,20/02/2018,NA
Jammu & Kashmir,58,0,0,0,0,0,58,1798,22/02/2018,NA
Jharkhand,114,0,0,0,0,0,114,2856,22/02/2018,Total No. of boys in CCIs: 1658; Total No. of girls in CCIs: 1198
Karnataka,918,50,282,0,0,0,1250,37014,2/3/2018,Total No. of boys in CCIs: 21349; Total No. of girls in CCIs: 15665
Kerala,371,109,0,0,709,0,1189,14577,11/1/2018,"No. of Children in registered CCI: 9934; No. of Children in recommended CCI: 141; No. of Children in temp. Registered CCI: 26; No. of Children in CCI whose registration need to be pause: 58; No. of Children in CCIs who have submitted new application for registration of CCI: 162; No of Children in 9 CCIs 2015-16 : 625; No of Children in 8 CCIs 2016-17: 295; No of Children in 27 CCIs 2017-18 :1554 (Application received, but report not sent); No of Children in CCIs, who have submitted application: 269; No of Children in CCIs, whose application is pending: 327; No of children in CCI whose application received for registration on 03.01 0.2018: 9; No. of children in recommended CCIs: 375; No. of children in 20 CCIs: 680; No. of children in a CCI request for withdrawal of JJ registration application: 122"
